Age,workclass,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
39,5.0,77516,13,4.0,0.0,1.0,4.0,1.0,2174,0,40,38.0,0.0
50,4.0,83311,13,2.0,3.0,0.0,4.0,1.0,0,0,13,38.0,0.0
38,2.0,215646,9,0.0,5.0,1.0,4.0,1.0,0,0,40,38.0,0.0
53,2.0,234721,7,2.0,5.0,0.0,2.0,1.0,0,0,40,38.0,0.0
28,2.0,338409,13,2.0,9.0,5.0,2.0,0.0,0,0,40,4.0,0.0
37,2.0,284582,14,2.0,3.0,5.0,4.0,0.0,0,0,40,38.0,0.0
49,2.0,160187,5,3.0,7.0,1.0,2.0,0.0,0,0,16,22.0,0.0
52,4.0,209642,9,2.0,3.0,0.0,4.0,1.0,0,0,45,38.0,1.0
31,2.0,45781,14,4.0,9.0,1.0,4.0,0.0,14084,0,50,38.0,1.0
42,2.0,159449,13,2.0,3.0,0.0,4.0,1.0,5178,0,40,38.0,1.0
37,2.0,280464,10,2.0,3.0,0.0,2.0,1.0,0,0,80,38.0,1.0
30,5.0,141297,13,2.0,9.0,0.0,1.0,1.0,0,0,40,18.0,1.0
23,2.0,122272,13,4.0,0.0,3.0,4.0,0.0,0,0,30,38.0,0.0
32,2.0,205019,12,4.0,11.0,1.0,2.0,1.0,0,0,50,38.0,0.0
34,2.0,245487,4,2.0,13.0,0.0,0.0,1.0,0,0,45,25.0,0.0
25,4.0,176756,9,4.0,4.0,3.0,4.0,1.0,0,0,35,38.0,0.0
32,2.0,186824,9,4.0,6.0,4.0,4.0,1.0,0,0,40,38.0,0.0
38,2.0,28887,7,2.0,11.0,0.0,4.0,1.0,0,0,50,38.0,0.0
43,4.0,292175,14,0.0,3.0,4.0,4.0,0.0,0,0,45,38.0,1.0
40,2.0,193524,16,2.0,9.0,0.0,4.0,1.0,0,0,60,38.0,1.0
54,2.0,302146,9,5.0,7.0,4.0,2.0,0.0,0,0,20,38.0,0.0
35,0.0,76845,5,2.0,4.0,0.0,2.0,1.0,0,0,40,38.0,0.0
43,2.0,117037,7,2.0,13.0,0.0,4.0,1.0,0,2042,40,38.0,0.0
59,2.0,109015,9,0.0,12.0,4.0,4.0,0.0,0,0,40,38.0,0.0
56,1.0,216851,13,2.0,12.0,0.0,4.0,1.0,0,0,40,38.0,1.0
19,2.0,168294,9,4.0,2.0,3.0,4.0,1.0,0,0,40,38.0,0.0
39,2.0,367260,9,0.0,3.0,1.0,4.0,1.0,0,0,80,38.0,0.0
49,2.0,193366,9,2.0,2.0,0.0,4.0,1.0,0,0,40,38.0,0.0
23,1.0,190709,12,4.0,10.0,1.0,4.0,1.0,0,0,52,38.0,0.0
20,2.0,266015,10,4.0,11.0,3.0,2.0,1.0,0,0,44,38.0,0.0
45,2.0,386940,13,0.0,3.0,3.0,4.0,1.0,0,1408,40,38.0,0.0
30,0.0,59951,10,2.0,0.0,3.0,4.0,1.0,0,0,40,38.0,0.0
22,5.0,311512,10,2.0,7.0,0.0,2.0,1.0,0,0,15,38.0,0.0
48,2.0,242406,7,4.0,6.0,4.0,4.0,1.0,0,0,40,32.0,0.0
21,2.0,197200,10,4.0,6.0,3.0,4.0,1.0,0,0,40,38.0,0.0
19,2.0,544091,9,1.0,0.0,5.0,4.0,0.0,0,0,25,38.0,0.0
48,4.0,265477,12,2.0,9.0,0.0,4.0,1.0,0,0,40,38.0,0.0
31,2.0,507875,5,2.0,6.0,0.0,4.0,1.0,0,0,43,38.0,0.0
53,4.0,88506,13,2.0,9.0,0.0,4.0,1.0,0,0,40,38.0,0.0
24,2.0,172987,13,2.0,12.0,0.0,4.0,1.0,0,0,50,38.0,0.0
49,2.0,94638,9,5.0,0.0,4.0,4.0,0.0,0,0,40,38.0,0.0
25,2.0,289980,9,4.0,5.0,1.0,4.0,1.0,0,0,35,38.0,0.0
57,0.0,337895,13,2.0,9.0,0.0,2.0,1.0,0,0,40,38.0,1.0
53,2.0,144361,9,2.0,6.0,0.0,4.0,1.0,0,0,38,38.0,0.0
44,2.0,128354,14,0.0,3.0,4.0,4.0,0.0,0,0,40,38.0,0.0
41,5.0,101603,11,2.0,2.0,0.0,4.0,1.0,0,0,40,38.0,0.0
29,2.0,271466,11,4.0,9.0,1.0,4.0,1.0,0,0,43,38.0,0.0
25,2.0,32275,10,2.0,3.0,5.0,3.0,0.0,0,0,40,38.0,0.0
47,2.0,51835,15,2.0,9.0,5.0,4.0,0.0,0,1902,60,15.0,1.0
50,0.0,251585,13,0.0,3.0,1.0,4.0,1.0,0,0,55,38.0,1.0
47,3.0,109832,9,0.0,3.0,1.0,4.0,1.0,0,0,60,38.0,0.0
43,2.0,237993,10,2.0,12.0,0.0,4.0,1.0,0,0,40,38.0,1.0
46,2.0,216666,3,2.0,6.0,0.0,4.0,1.0,0,0,40,25.0,0.0
35,2.0,56352,11,2.0,7.0,0.0,4.0,1.0,0,0,40,32.0,0.0
41,2.0,147372,9,2.0,0.0,0.0,4.0,1.0,0,0,48,38.0,0.0
30,2.0,188146,9,2.0,6.0,0.0,4.0,1.0,5013,0,40,38.0,0.0
30,2.0,59496,13,2.0,11.0,0.0,4.0,1.0,2407,0,40,38.0,0.0
48,2.0,149640,9,2.0,13.0,0.0,4.0,1.0,0,0,40,38.0,0.0
42,2.0,116632,16,2.0,9.0,0.0,4.0,1.0,0,0,45,38.0,1.0
29,2.0,105598,10,0.0,12.0,1.0,4.0,1.0,0,0,58,38.0,0.0
36,2.0,155537,9,2.0,2.0,0.0,4.0,1.0,0,0,40,38.0,0.0
28,2.0,183175,10,0.0,0.0,1.0,4.0,0.0,0,0,40,38.0,0.0
53,2.0,169846,9,2.0,0.0,5.0,4.0,0.0,0,0,40,38.0,1.0
49,3.0,191681,10,2.0,3.0,0.0,4.0,1.0,0,0,50,38.0,1.0
19,2.0,101509,10,4.0,9.0,3.0,4.0,1.0,0,0,32,38.0,0.0
31,2.0,309974,13,5.0,11.0,3.0,2.0,0.0,0,0,40,38.0,0.0
29,4.0,162298,13,2.0,11.0,0.0,4.0,1.0,0,0,70,38.0,1.0
23,2.0,211678,10,4.0,6.0,1.0,4.0,1.0,0,0,40,38.0,0.0
79,2.0,124744,10,2.0,9.0,2.0,4.0,1.0,0,0,20,38.0,0.0
27,2.0,213921,9,4.0,7.0,3.0,4.0,1.0,0,0,40,25.0,0.0
40,2.0,32214,12,2.0,0.0,0.0,4.0,1.0,0,0,40,38.0,0.0
18,2.0,309634,7,4.0,7.0,3.0,4.0,0.0,0,0,22,38.0,0.0
31,1.0,125927,4,2.0,4.0,0.0,4.0,1.0,0,0,40,38.0,0.0
18,2.0,446839,9,4.0,11.0,1.0,4.0,1.0,0,0,30,38.0,0.0
52,2.0,276515,13,2.0,7.0,0.0,4.0,1.0,0,0,40,4.0,0.0
46,2.0,51618,9,2.0,7.0,5.0,4.0,0.0,0,0,40,38.0,0.0
59,2.0,159937,9,2.0,11.0,0.0,4.0,1.0,0,0,48,38.0,0.0
44,2.0,343591,9,0.0,2.0,1.0,4.0,0.0,14344,0,40,38.0,1.0
53,2.0,346253,9,0.0,11.0,3.0,4.0,0.0,0,0,35,38.0,0.0
49,1.0,268234,9,2.0,10.0,0.0,4.0,1.0,0,0,40,38.0,1.0
33,2.0,202051,14,2.0,9.0,0.0,4.0,1.0,0,0,50,38.0,0.0
30,2.0,54334,5,4.0,11.0,1.0,4.0,1.0,0,0,40,38.0,0.0
43,0.0,410867,16,4.0,9.0,1.0,4.0,0.0,0,0,50,38.0,1.0
57,2.0,249977,11,2.0,9.0,0.0,4.0,1.0,0,0,40,38.0,0.0
37,2.0,286730,10,0.0,2.0,4.0,4.0,0.0,0,0,40,38.0,0.0
28,2.0,212563,10,0.0,6.0,4.0,2.0,0.0,0,0,25,38.0,0.0
34,1.0,226296,13,2.0,10.0,0.0,4.0,1.0,0,0,40,38.0,1.0
29,1.0,115585,10,4.0,5.0,1.0,4.0,1.0,0,0,50,38.0,0.0
48,4.0,191277,16,2.0,9.0,0.0,4.0,1.0,0,1902,60,38.0,1.0
37,2.0,202683,10,2.0,11.0,0.0,4.0,1.0,0,0,48,38.0,1.0
48,2.0,171095,12,0.0,3.0,4.0,4.0,0.0,0,0,40,8.0,0.0
32,0.0,249409,9,4.0,7.0,3.0,2.0,1.0,0,0,40,38.0,0.0
76,2.0,124191,14,2.0,3.0,0.0,4.0,1.0,0,0,40,38.0,1.0
44,2.0,198282,13,2.0,3.0,0.0,4.0,1.0,15024,0,60,38.0,1.0
47,4.0,149116,14,4.0,9.0,1.0,4.0,0.0,0,0,50,38.0,0.0
20,2.0,188300,10,4.0,12.0,3.0,4.0,0.0,0,0,40,38.0,0.0
29,2.0,103432,9,4.0,2.0,1.0,4.0,1.0,0,0,40,38.0,0.0
32,3.0,317660,9,2.0,2.0,0.0,4.0,1.0,7688,0,40,38.0,1.0
30,2.0,194901,7,4.0,5.0,3.0,4.0,1.0,0,0,40,38.0,0.0
31,1.0,189265,9,4.0,0.0,1.0,4.0,0.0,0,0,40,38.0,0.0
42,2.0,124692,9,2.0,5.0,0.0,4.0,1.0,0,0,40,38.0,0.0
24,2.0,432376,13,4.0,11.0,2.0,4.0,1.0,0,0,40,38.0,0.0
38,2.0,65324,15,2.0,9.0,0.0,4.0,1.0,0,0,40,38.0,1.0
56,4.0,335605,9,2.0,7.0,0.0,4.0,1.0,0,1887,50,1.0,1.0
