Age,workclass,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Self-employed,*,(13-16),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Divorced,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(5-8),Married-civ-spouse,*,Married,Black,Male,-1500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Unknown/without,*,(13-16),Married-civ-spouse,*,Married,White,Female,-1500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Self-employed,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,>50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,Unknown/without,*,(13-16),Married-civ-spouse,*,Married,White,Male,4500-7500,0,*,North-America,>50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,Black,Male,-1500,0,*,North-America,>50K
*,Government,*,(13-16),Married-civ-spouse,*,Married,Asian-Pac-Islander,Male,-1500,0,*,South-Asia,>50K
*,Unknown/without,*,(13-16),Never-married,*,Family,White,Female,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Never-married,*,Other,Black,Male,-1500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Self-employed,*,(9-12),Never-married,*,Family,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Never-married,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(5-8),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Self-employed,*,(13-16),Divorced,*,Other,White,Female,-1500,0,*,North-America,>50K
*,Unknown/without,*,(13-16),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,>50K
*,Unknown/without,*,(9-12),Separated,*,Other,Black,Female,-1500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Unknown/without,*,(9-12),Divorced,*,Other,White,Female,-1500,0,*,North-America,<=50K
*,Government,*,(13-16),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,>50K
*,Unknown/without,*,(9-12),Never-married,*,Family,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Divorced,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Government,*,(9-12),Never-married,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Never-married,*,Family,Black,Male,-1500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Government,*,(9-12),Married-civ-spouse,*,Married,Black,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(5-8),Never-married,*,Other,White,Male,-1500,0,*,Middle-America,<=50K
*,Unknown/without,*,(9-12),Never-married,*,Family,White,Male,-1500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Self-employed,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(5-8),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Self-employed,*,(13-16),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(13-16),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Separated,*,Other,White,Female,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Never-married,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,Government,*,(13-16),Married-civ-spouse,*,Married,Black,Male,-1500,0,*,North-America,>50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(13-16),Divorced,*,Other,White,Female,-1500,0,*,North-America,<=50K
*,Government,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Never-married,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,Government,*,(13-16),Divorced,*,Other,White,Male,-1500,0,*,North-America,>50K
*,Self-employed,*,(9-12),Divorced,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,>50K
*,Unknown/without,*,(1-4),Married-civ-spouse,*,Married,White,Male,-1500,0,*,Middle-America,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,Middle-America,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Male,4500-7500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(13-16),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,>50K
*,Unknown/without,*,(9-12),Divorced,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Divorced,*,Other,White,Female,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Married,White,Female,-1500,0,*,North-America,>50K
*,Self-employed,*,(9-12),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,>50K
*,Unknown/without,*,(9-12),Never-married,*,Family,White,Male,-1500,0,*,North-America,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Self-employed,*,(13-16),Married-civ-spouse,*,Married,White,Male,-1500,0,*,North-America,>50K
*,Unknown/without,*,(9-12),Never-married,*,Other,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Married-civ-spouse,*,Family,White,Male,-1500,0,*,North-America,<=50K
*,Unknown/without,*,(9-12),Never-married,*,Family,White,Male,-1500,0,*,Middle-America,<=50K
